receivedAt,area,name,mode,scheduled,explicit_forecast,cancelled,trip_update_only,missing,ambiguous,unsupported,explicitPercent
2026-09-06T09:45:48.463688+00:00,bonn,Bonn,regional,8,6,0,2,0,0,0,75.0
2026-09-06T09:45:48.463688+00:00,bonn,Bonn,long_distance,3,3,0,0,0,0,0,100.0
2026-09-06T09:45:48.463688+00:00,bonn,Bonn,ferry,5,0,0,0,5,0,0,0.0
2026-09-06T09:45:48.463688+00:00,bonn,Bonn,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,tram_metro,125,68,0,55,2,0,0,54.4
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,bus,126,71,0,25,30,0,0,56.3
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,suburban,25,22,0,2,1,0,0,88.0
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,regional,9,8,0,1,0,0,0,88.9
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,long_distance,3,1,0,0,2,0,0,33.3
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,dresden,Dresden,tram_metro,119,48,0,49,22,0,0,40.3
2026-09-06T09:45:48.463688+00:00,dresden,Dresden,bus,185,78,0,45,62,0,0,42.2
2026-09-06T09:45:48.463688+00:00,dresden,Dresden,suburban,10,9,0,1,0,0,0,90.0
2026-09-06T09:45:48.463688+00:00,dresden,Dresden,regional,11,11,0,0,0,0,0,100.0
2026-09-06T09:45:48.463688+00:00,dresden,Dresden,long_distance,1,0,0,0,1,0,0,0.0
2026-09-06T09:45:48.463688+00:00,dresden,Dresden,ferry,21,2,0,0,19,0,0,9.5
2026-09-06T09:45:48.463688+00:00,dresden,Dresden,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,hannover,Hannover,tram_metro,104,49,0,55,0,0,0,47.1
2026-09-06T09:45:48.463688+00:00,hannover,Hannover,bus,131,60,0,60,11,0,0,45.8
2026-09-06T09:45:48.463688+00:00,hannover,Hannover,suburban,14,4,0,10,0,0,0,28.6
2026-09-06T09:45:48.463688+00:00,hannover,Hannover,regional,8,6,0,2,0,0,0,75.0
2026-09-06T09:45:48.463688+00:00,hannover,Hannover,long_distance,6,4,0,0,2,0,0,66.7
2026-09-06T09:45:48.463688+00:00,hannover,Hannover,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,hannover,Hannover,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,bremen,Bremen,tram_metro,61,31,0,18,12,0,0,50.8
2026-09-06T09:45:48.463688+00:00,bremen,Bremen,bus,98,57,0,19,22,0,0,58.2
2026-09-06T09:45:48.463688+00:00,bremen,Bremen,suburban,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,bremen,Bremen,regional,10,5,0,1,4,0,0,50.0
2026-09-06T09:45:48.463688+00:00,bremen,Bremen,long_distance,5,1,0,0,4,0,0,20.0
2026-09-06T09:45:48.463688+00:00,bremen,Bremen,ferry,2,0,0,0,2,0,0,0.0
2026-09-06T09:45:48.463688+00:00,bremen,Bremen,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,nuremberg,Nürnberg,tram_metro,93,64,0,2,27,0,0,68.8
2026-09-06T09:45:48.463688+00:00,nuremberg,Nürnberg,bus,174,148,0,10,16,0,0,85.1
2026-09-06T09:45:48.463688+00:00,nuremberg,Nürnberg,suburban,15,12,0,3,0,0,0,80.0
2026-09-06T09:45:48.463688+00:00,nuremberg,Nürnberg,regional,17,16,0,1,0,0,0,94.1
2026-09-06T09:45:48.463688+00:00,nuremberg,Nürnberg,long_distance,4,4,0,0,0,0,0,100.0
2026-09-06T09:45:48.463688+00:00,nuremberg,Nürnberg,ferry,0,0,0,0,0,0,0,
